À½½ÄÀÌ¸§,°Ë»ö·®,1¿ù,2¿ù,3¿ù,4¿ù,5¿ù,6¿ù,7¿ù,8¿ù,9¿ù,10¿ù,11¿ù,12¿ù,10´ë,20´ë,30´ë,40´ë,50´ë,³²¼º,¿©¼º
Ä®±¹¼ö,185000,7.5,7.1,7.9,8,8.2,8.1,8.4,9.4,9.4,9.7,8.3,8,5.3,32.8,31.9,30.1,9,37.1,62.9
ºñºö¹ä,42600,7.8,7.2,8,8.7,9.6,9.3,8.1,7.9,8.9,8,9.8,6.8,6.4,17.1,28.1,33.6,14.8,28.8,71.2
¿ìµ¿,39200,8.5,7.8,7.9,8.1,8.1,8.3,8.1,7.9,8.3,9.1,9.3,8.7,9.3,23.4,32.4,27.5,7.5,37,63
¶ó¸é,85000,7.9,9.9,8.6,8.4,8.2,8.5,7.8,8,7.8,8.1,8.4,8.5,9.5,20.7,27.6,27.9,14.3,49.5,50.5
À°°³Àå,116000,8.8,8.4,8.3,8,7.9,7.9,8.6,8.6,9,8.6,8.2,7.8,6.4,22.4,26.4,27.6,17.1,38.6,61.4
¼³··ÅÁ,74500,7.7,7.1,7.1,7.2,7.3,7.2,7.4,11,10.5,10.4,8.7,8.2,4.2,21.4,32.3,30.5,11.7,48.6,51.4
¿ù³²½Ó,89500,8.7,8.6,13.4,8.9,8.6,8.3,8.1,8.1,7.1,6.6,6.2,7.5,5,21.7,31,29.7,12.6,18.5,81.5
°£Àå°ÔÀå,160000,7.5,7.4,7,8,7.7,7.1,9.9,10.1,12.1,8.6,7.2,7.3,3.4,17.7,23.5,29.8,25.6,34.5,65.5
±èÄ¡Âî°³,115000,9.2,8.7,8.2,8.4,8.3,7.5,7.6,9,8.2,8.5,8.4,8.1,6,26.2,33.6,24.6,9.6,43.5,56.5
µÈÀåÂî°³,75200,8.8,8.1,8.5,8.4,7.9,8.2,8.2,9.1,8.4,8.5,7.8,8,3.6,21.7,39,24.4,11.3,32.2,67.8
¼øµÎºÎÂî°³,105000,8.9,8.3,9.5,8.3,7.5,7.8,7.7,8.7,8.5,8.7,8.1,8.1,3.9,23.7,36,25,11.3,25.3,74.7
°¨ÀÚÅÁ,172000,8.4,8,7.8,7.7,7.9,8.1,8.1,8.8,8.8,9.3,8.7,8.5,5.2,23.9,30,30.1,10.9,42.4,57.6
Äá±¹¼ö,13600,1.2,1.4,2.2,4.7,12.7,23.6,29,17.4,3.8,1.7,1.1,1,3.6,20.7,30.5,29.9,15.3,39.5,60.5
ÆÏÁ×,11100,6.2,4.8,3.5,2.7,2.5,2.5,2.4,2.5,2.7,3.3,5.2,61.6,5.2,13.2,20.9,36,24.8,23.8,76.2
Àüº¹Á×,28300,8.5,9,7.9,8.6,9.1,9,10.4,9.4,8.2,6.7,6.5,6.7,1.3,9,31.2,38.7,19.8,22,78
Ãß¾îÅÁ,81000,6.9,7.2,7.8,7.5,7.8,8.3,10.6,10.4,9.1,9.1,8.1,7.1,2.7,14.4,28.7,34.6,19.6,41.7,58.3
´ßººÀ½ÅÁ,150000,8.9,8.2,9,7.9,7.8,8.6,9.6,8.8,7.5,8,7.7,8.1,2.2,12.7,22,34.1,29,41.7,58.3
¸ÀÅÁ,11000,10.5,7.7,7.3,5.8,4.5,3.8,3.5,4.5,8.5,18.2,15,10.6,3.9,12.7,35.8,38.1,9.6,20.6,79.4
ÄÚ´Ù¸®Âò,38700,11,13.1,8.9,7,6.5,6.5,6.6,7.6,8.2,7.5,7.9,9.4,1.7,10.1,19.7,38.1,30.4,30.5,69.5
Ä«·¹,53700,9,8.5,9.2,8.5,8.2,8.4,8.5,8.5,7.6,7.7,8,7.9,5.5,24.6,34.1,25.5,10.3,31.1,68.9
°è¶õ¸»ÀÌ,36500,10.7,8.1,9.1,8.6,8,7.6,7.9,8.3,7.6,8.1,8.1,7.8,3.7,20.2,40.7,26.8,8.6,26,74
¶±±¹,19100,37.7,16.6,4,3.2,2.9,2.6,2.2,2.5,3.4,3.8,6.8,14.1,7,15,38.1,30.1,9.9,28.8,71.2
¸¶¶ó¼§±Å,163000,8.2,6.5,9.4,7.5,7.4,7.5,11.1,8.7,8.8,8.8,8.7,7.4,12.6,32,25.4,21.7,8.4,39.8,60.2
»ï°ã»ì,186000,7.1,7.3,9.5,8.4,9,9,9.1,9.2,8.6,8.2,7.6,6.9,5,29.4,35,23.5,7.2,50.9,49.1
¾Æ±¸Âò,65600,8.3,9.2,8.8,8.7,9.3,8,8.3,8.5,7.8,7.4,7.3,8.5,4.8,22.2,25.9,31.1,16,42.4,57.6
