음식이름,검색량,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,10대,20대,30대,40대,50대,남성,여성
카레,53700,9,8.5,9.2,8.5,8.2,8.4,8.5,8.5,7.6,7.7,8,7.9,5.5,24.6,34.1,25.5,10.3,31.1,68.9
계란말이,36500,10.7,8.1,9.1,8.6,8,7.6,7.9,8.3,7.6,8.1,8.1,7.8,3.7,20.2,40.7,26.8,8.6,26,74
떡국,19100,37.7,16.6,4,3.2,2.9,2.6,2.2,2.5,3.4,3.8,6.8,14.1,7,15,38.1,30.1,9.9,28.8,71.2
마라샹궈,163000,8.2,6.5,9.4,7.5,7.4,7.5,11.1,8.7,8.8,8.8,8.7,7.4,12.6,32,25.4,21.7,8.4,39.8,60.2
삼겹살,186000,7.1,7.3,9.5,8.4,9,9,9.1,9.2,8.6,8.2,7.6,6.9,5,29.4,35,23.5,7.2,50.9,49.1
아구찜,65600,8.3,9.2,8.8,8.7,9.3,8,8.3,8.5,7.8,7.4,7.3,8.5,4.8,22.2,25.9,31.1,16,42.4,57.6
삼계탕,72000,3.1,3.2,3.9,4.5,5.4,8.3,47.6,10.6,3.3,3.3,3.6,3.2,2.3,18.4,31,31.5,16.8,47.3,52.9
김치찜,56600,9.3,8.9,9,8.3,7.9,7.4,7.5,8.4,7.8,7.8,8.6,9.3,3.7,19.2,33.2,32.4,11.6,30,70
부대찌개,160000,8.5,8.5,8.4,8,8,7.8,8.1,9.3,8.7,8.6,8.1,8.2,5,22.8,31,29.2,11.9,40.5,59.5
초밥,168000,7.4,7.8,8.1,8.6,9,8.4,8,8.2,9.2,8.8,8.4,8.2,10.3,32.9,26.1,23.6,7.1,43.3,56.8
핫도그,41900,9,8.5,9.3,9.1,8.9,8,7.8,8.2,7.5,7.8,7.8,8.1,8.7,23.3,31.6,28.3,8,36.9,63.1
만두,59000,10.7,9.2,7.5,7.5,8,7.6,7.2,7.7,8,8.1,8.9,9.6,6.5,23.4,29,28.1,13,38.3,61.7
